timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
29-09-2025 10:36:53;sem-usuario-logado;3.3;38.3;0.0;41.3;0.0;17.5;0.16;1;0;1;1001.76
29-09-2025 10:36:59;sem-usuario-logado;0.8;37.2;0.0;97.5;0.0;17.5;0.01;0;0;0;0.0
29-09-2025 10:37:05;sem-usuario-logado;0.8;37.1;0.0;98.3;0.0;17.5;0.0;37;0;37;27.07
29-09-2025 10:37:12;sem-usuario-logado;0.8;37.1;0.0;99.2;0.0;17.5;0.03;0;0;0;0.0
29-09-2025 10:37:18;sem-usuario-logado;0.8;37.3;0.0;98.3;0.0;17.5;0.01;1;0;1;1001.88
29-09-2025 10:37:24;sem-usuario-logado;1.7;37.3;0.0;94.0;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:37:30;sem-usuario-logado;0.8;37.1;0.0;99.2;0.0;17.5;0.0;18;0;18;55.67
29-09-2025 10:37:36;sem-usuario-logado;0.0;37.1;0.0;99.2;0.0;17.5;0.0;38;0;38;26.36
29-09-2025 10:37:42;sem-usuario-logado;0.8;37.4;0.0;96.6;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:37:48;sem-usuario-logado;1.7;37.2;0.0;93.2;0.0;17.5;0.3;11;0;11;91.04
29-09-2025 10:37:55;sem-usuario-logado;0.8;37.6;0.0;97.5;0.0;17.5;0.0;2;0;2;500.68
29-09-2025 10:38:01;sem-usuario-logado;2.5;37.6;0.0;91.6;0.0;17.5;0.02;40;0;40;25.06
29-09-2025 10:38:07;sem-usuario-logado;0.8;37.4;0.0;89.2;0.0;17.5;0.0;65;0;65;15.4
29-09-2025 10:38:13;sem-usuario-logado;1.7;37.8;0.0;92.4;0.0;17.5;0.0;2;0;2;501.12
29-09-2025 10:38:19;sem-usuario-logado;2.5;38.4;0.0;89.2;0.0;17.5;0.08;0;0;0;0.0
29-09-2025 10:38:25;sem-usuario-logado;0.8;38.8;0.0;92.4;0.0;17.5;0.16;0;0;0;0.0
29-09-2025 10:38:31;sem-usuario-logado;2.5;37.9;0.0;83.6;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:38:38;sem-usuario-logado;1.7;38.2;0.0;88.9;0.0;17.5;0.15;37;0;37;27.07
29-09-2025 10:38:44;sem-usuario-logado;0.8;38.2;0.0;90.8;0.0;17.5;0.0;2;0;2;500.58
29-09-2025 10:38:50;sem-usuario-logado;0.0;38.2;0.0;100.0;0.0;17.5;0.0;18;0;18;55.64
29-09-2025 10:38:56;sem-usuario-logado;0.8;36.0;0.0;98.3;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:39:02;sem-usuario-logado;0.8;36.2;0.0;96.6;0.0;17.5;0.02;0;0;0;0.0
29-09-2025 10:39:08;sem-usuario-logado;4.2;35.3;0.0;86.4;0.0;17.5;0.15;44;0;44;22.76
29-09-2025 10:39:15;sem-usuario-logado;0.9;35.2;0.0;96.6;0.0;17.5;0.0;2;0;2;500.72
29-09-2025 10:39:21;sem-usuario-logado;0.0;35.2;0.0;99.2;0.0;17.5;0.05;0;0;0;0.0
29-09-2025 10:39:27;sem-usuario-logado;1.7;35.4;0.0;96.7;0.0;17.5;0.0;11;0;11;91.05
29-09-2025 10:39:33;sem-usuario-logado;0.8;35.2;0.0;98.3;0.0;17.5;0.0;2;0;2;500.73
29-09-2025 10:39:39;sem-usuario-logado;0.8;35.1;0.0;99.2;0.0;17.5;0.11;39;0;39;25.69
29-09-2025 10:39:45;sem-usuario-logado;0.8;35.4;0.0;95.8;0.0;17.5;0.0;17;2;15;58.94
29-09-2025 10:39:51;sem-usuario-logado;0.8;35.5;0.0;97.5;0.8;17.5;0.0;0;0;0;0.0
29-09-2025 10:39:58;sem-usuario-logado;1.7;35.5;0.0;94.2;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:40:04;sem-usuario-logado;0.8;35.4;0.0;97.5;0.0;17.5;0.02;0;0;0;0.0
29-09-2025 10:40:10;sem-usuario-logado;0.8;35.7;0.0;96.6;0.0;17.5;0.05;79;0;79;12.68
29-09-2025 10:40:16;sem-usuario-logado;0.8;35.6;0.0;93.2;0.0;17.5;0.0;24;0;24;41.71
29-09-2025 10:40:22;sem-usuario-logado;0.8;36.3;0.0;95.0;0.0;17.5;0.0;67;0;67;14.95
29-09-2025 10:40:28;sem-usuario-logado;0.8;36.7;0.0;93.3;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:40:34;sem-usuario-logado;0.8;37.1;0.0;92.4;0.0;17.5;0.0;0;0;0;0.0
