macAdress;timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
269058769682378;15-10-2025 11:33:53;PC;4.1;51.4;0.0;94.6;0.0;66.0;1.42;30;18;12;33.35
269058769682378;15-10-2025 11:33:57;PC;2.4;51.5;0.0;95.2;0.0;66.0;0.69;10;5;5;100.09
269058769682378;15-10-2025 11:34:00;PC;5.7;51.5;0.0;94.3;0.0;66.0;4.15;10;8;2;100.04
269058769682378;15-10-2025 11:34:04;PC;0.0;51.4;0.0;100.0;0.0;66.0;2.38;16;0;16;62.53
269058769682378;15-10-2025 11:34:07;PC;0.0;51.3;0.0;100.0;0.0;66.0;0.1;24;0;24;41.67
269058769682378;15-10-2025 11:34:10;PC;0.0;51.3;0.0;100.0;0.0;66.0;0.07;17;0;17;58.83
269058769682378;15-10-2025 11:34:14;PC;0.0;51.3;0.0;97.4;0.0;66.0;1.27;0;0;0;0.0
269058769682378;15-10-2025 11:34:17;PC;2.8;51.5;0.0;90.3;0.0;66.0;18.39;35;18;17;28.58
269058769682378;15-10-2025 11:34:21;PC;5.0;52.2;0.0;95.0;0.0;66.0;6.64;190;190;0;5.27
269058769682378;15-10-2025 11:34:24;PC;2.4;54.2;0.0;67.1;0.0;66.0;8.31;428;402;26;2.34
269058769682378;15-10-2025 11:34:28;PC;4.2;58.6;0.0;88.9;0.0;66.0;11.03;264;234;30;3.79
269058769682378;15-10-2025 11:34:32;PC;6.9;64.4;0.0;72.2;0.0;66.0;3.45;345;113;232;2.9
269058769682378;15-10-2025 11:34:36;PC;2.8;64.0;0.0;93.1;0.0;66.0;3.73;585;147;438;1.71
269058769682378;15-10-2025 11:34:40;PC;2.6;64.7;0.0;93.4;0.0;66.0;6.53;121;19;102;8.27
269058769682378;15-10-2025 11:34:44;PC;0.0;65.2;0.0;88.9;0.0;66.0;14.49;33;13;20;30.32
269058769682378;15-10-2025 11:34:48;PC;0.0;64.7;0.0;95.8;0.0;66.0;14.62;17;4;13;58.88
269058769682378;15-10-2025 11:34:51;PC;0.0;63.8;0.0;86.1;0.0;66.0;15.94;33;11;22;30.33
269058769682378;15-10-2025 11:34:55;PC;0.0;64.0;0.0;93.1;0.0;66.0;18.91;133;38;95;7.53
269058769682378;15-10-2025 11:34:59;PC;1.2;63.9;0.0;97.6;0.0;66.0;6.55;169;59;110;5.92
269058769682378;15-10-2025 11:35:02;PC;0.0;63.9;0.0;96.3;0.0;66.0;4.49;105;40;65;9.53
269058769682378;15-10-2025 11:35:06;PC;5.2;63.8;0.0;76.6;0.0;66.0;7.35;217;85;132;4.61
269058769682378;15-10-2025 11:35:10;PC;3.6;62.1;0.0;88.0;0.0;66.0;13.71;194;69;125;5.16
269058769682378;15-10-2025 11:35:13;PC;0.0;62.0;0.0;100.0;0.0;66.0;2.71;197;83;114;5.08
269058769682378;15-10-2025 11:35:17;PC;4.1;62.1;0.0;75.3;0.0;66.0;11.64;470;223;247;2.13
269058769682378;15-10-2025 11:35:21;PC;1.2;62.2;0.0;88.0;0.0;66.0;8.39;216;153;63;4.63
269058769682378;15-10-2025 11:35:25;PC;4.8;62.4;0.0;89.3;0.0;66.0;2.62;126;83;43;7.94
269058769682378;15-10-2025 11:35:28;PC;2.4;62.6;0.0;92.9;0.0;66.0;7.1;76;37;39;13.17
269058769682378;15-10-2025 11:35:32;PC;2.8;63.5;0.0;88.9;0.0;66.0;7.65;371;290;81;2.7
269058769682378;15-10-2025 11:35:36;PC;29.8;66.1;0.0;65.5;0.0;66.0;8.11;270;190;80;3.7
269058769682378;15-10-2025 11:35:40;PC;1.3;64.0;0.0;96.0;0.0;66.0;10.86;228;146;82;4.39
