macAdress;timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
269058769682378;28-10-2025 18:56:02;PC;3.9;40.3;0.0;89.6;0.0;67.9;0.23;56;3;53;17.86
269058769682378;28-10-2025 18:56:06;PC;0.0;40.5;0.0;93.8;0.0;67.9;0.27;44;0;44;22.73
269058769682378;28-10-2025 18:56:09;PC;0.0;40.6;0.0;98.8;0.0;67.9;0.14;27;2;25;37.07
269058769682378;28-10-2025 18:56:12;PC;13.9;40.6;0.0;79.2;0.0;67.9;0.14;43;1;42;23.26
269058769682378;28-10-2025 18:56:15;PC;6.9;40.6;0.0;91.7;0.0;67.9;0.02;13;0;13;76.95
269058769682378;28-10-2025 18:56:18;PC;9.6;40.6;0.0;87.7;0.0;67.9;0.09;18;0;18;55.58
269058769682378;28-10-2025 18:56:21;PC;8.3;40.5;0.0;91.7;0.0;67.9;0.21;2;0;2;500.29
269058769682378;28-10-2025 18:56:24;PC;9.7;40.6;0.0;86.1;0.0;67.9;0.06;20;0;20;50.03
269058769682378;28-10-2025 18:56:27;PC;5.6;40.5;0.0;91.7;0.0;67.9;0.59;3;0;3;333.59
269058769682378;28-10-2025 18:56:30;PC;5.6;40.7;0.0;91.7;0.0;67.9;0.05;72;0;72;13.9
269058769682378;28-10-2025 18:56:34;PC;6.9;40.7;0.0;90.3;0.0;67.9;0.0;22;0;22;45.48
269058769682378;28-10-2025 18:56:37;PC;8.3;40.7;0.0;90.3;0.0;67.9;0.02;3;0;3;333.41
269058769682378;28-10-2025 18:56:40;PC;8.3;40.7;0.0;91.7;0.0;67.9;0.02;0;0;0;0.0
269058769682378;28-10-2025 18:56:43;PC;8.3;40.7;0.0;91.7;0.0;67.9;0.0;3;0;3;333.49
269058769682378;28-10-2025 18:56:46;PC;9.7;40.3;0.0;76.4;0.0;67.9;4.54;8;0;8;125.03
269058769682378;28-10-2025 18:56:49;PC;8.3;40.8;0.0;88.9;0.0;67.9;3.03;10;0;10;100.07
269058769682378;28-10-2025 18:56:52;PC;6.9;40.7;0.0;93.1;0.0;67.9;0.68;0;0;0;0.0
269058769682378;28-10-2025 18:56:55;PC;6.9;40.7;0.0;90.3;0.0;67.9;0.32;7;0;7;142.94
269058769682378;28-10-2025 18:56:58;PC;8.3;40.7;0.0;91.7;0.0;67.9;0.13;1;0;1;1000.18
269058769682378;28-10-2025 18:57:02;PC;6.9;40.6;0.0;91.7;0.0;67.9;0.0;0;0;0;0.0
269058769682378;28-10-2025 18:57:05;PC;8.3;40.6;0.0;91.7;0.0;67.9;0.13;26;22;4;38.49
269058769682378;28-10-2025 18:57:08;PC;8.3;40.6;0.0;91.7;0.0;67.9;0.39;1;0;1;1000.75
269058769682378;28-10-2025 18:57:11;PC;8.3;40.8;0.0;91.7;0.0;67.9;0.26;1;0;1;1000.53
269058769682378;28-10-2025 18:57:14;PC;6.9;40.7;0.0;90.3;0.0;67.9;0.71;39;0;39;25.66
269058769682378;28-10-2025 18:57:17;PC;8.3;40.6;0.0;88.9;0.0;67.9;0.1;3;0;3;333.68
269058769682378;28-10-2025 18:57:20;PC;11.9;41.6;0.0;66.7;0.0;67.9;3.44;44;0;44;22.74
269058769682378;28-10-2025 18:57:23;PC;12.5;41.1;0.0;83.3;0.0;67.9;3.55;142;77;65;7.05
269058769682378;28-10-2025 18:57:26;PC;9.7;42.1;0.0;75.0;0.0;67.9;0.13;0;0;0;0.0
269058769682378;28-10-2025 18:57:30;PC;5.6;42.0;0.0;91.7;0.0;67.9;0.21;31;2;29;32.26
269058769682378;28-10-2025 18:57:33;PC;6.9;42.0;0.0;90.3;0.0;67.9;0.5;2;0;2;500.28
269058769682378;28-10-2025 18:57:36;PC;6.9;42.0;0.0;86.1;0.0;67.9;1.61;7;3;4;142.91
269058769682378;28-10-2025 18:57:39;PC;9.5;42.0;0.0;90.5;0.0;67.9;3.14;149;117;32;6.72
269058769682378;28-10-2025 18:57:42;PC;19.0;42.0;0.0;53.6;0.0;67.9;0.23;59;50;9;16.95
269058769682378;28-10-2025 18:57:45;PC;8.3;41.5;0.0;90.3;0.0;67.9;2.17;74;2;72;13.52
269058769682378;28-10-2025 18:57:48;PC;9.7;41.5;0.0;87.5;0.0;67.9;2.04;32;4;28;31.28
269058769682378;28-10-2025 18:57:51;PC;6.9;42.5;0.0;91.7;0.0;67.9;0.06;34;1;33;29.43
269058769682378;28-10-2025 18:57:54;PC;5.6;42.5;0.0;91.7;0.0;67.9;4.49;72;38;34;13.9
269058769682378;28-10-2025 18:57:58;PC;13.9;42.6;0.0;77.8;0.0;67.9;4.24;537;421;116;1.86
269058769682378;28-10-2025 18:58:01;PC;8.3;41.9;0.0;86.9;0.0;67.9;1.17;158;121;37;6.33
269058769682378;28-10-2025 18:58:04;PC;15.5;42.1;0.0;78.6;0.0;67.9;0.47;73;40;33;13.7
269058769682378;28-10-2025 18:58:07;PC;21.1;42.3;0.0;53.9;0.0;67.9;2.28;213;39;174;4.7
269058769682378;28-10-2025 18:58:11;PC;13.9;42.8;0.0;70.8;0.0;67.9;1.2;44;28;16;22.73
269058769682378;28-10-2025 18:58:14;PC;10.0;42.7;0.0;82.5;0.0;67.9;1.14;43;34;9;23.28
269058769682378;28-10-2025 18:58:17;PC;14.1;43.8;0.0;75.3;0.0;67.9;0.12;77;26;51;13.0
269058769682378;28-10-2025 18:58:20;PC;9.7;43.8;0.0;86.1;0.0;67.9;0.66;107;37;70;9.35
269058769682378;28-10-2025 18:58:23;PC;11.1;43.8;0.0;83.3;0.0;67.9;0.58;94;52;42;10.64
269058769682378;28-10-2025 18:58:27;PC;13.9;43.8;0.0;83.3;0.0;67.9;0.56;156;111;45;6.41
269058769682378;28-10-2025 18:58:30;PC;13.9;43.7;0.0;77.8;0.0;67.9;2.88;478;452;26;2.09
269058769682378;28-10-2025 18:58:33;PC;15.6;43.8;0.0;80.5;0.0;67.9;5.62;992;957;35;1.01
269058769682378;28-10-2025 18:58:36;PC;9.4;43.9;0.0;88.2;0.0;67.9;0.25;1680;1655;25;0.6
269058769682378;28-10-2025 18:58:39;PC;13.3;43.9;0.0;84.0;0.0;67.9;0.02;145;46;99;6.9
269058769682378;28-10-2025 18:58:42;PC;16.4;44.0;0.0;82.2;0.0;67.9;2.18;8;5;3;125.11
269058769682378;28-10-2025 18:58:45;PC;21.9;42.9;0.0;61.6;0.0;67.9;2.02;147;141;6;6.81
269058769682378;28-10-2025 18:58:48;PC;15.1;42.9;0.0;75.3;0.0;67.9;5.18;58;57;1;17.25
269058769682378;28-10-2025 18:58:51;PC;15.3;43.5;0.0;79.2;0.0;67.9;1.61;30;16;14;33.35
269058769682378;28-10-2025 18:58:55;PC;15.3;44.6;0.0;58.3;0.0;67.9;2.67;266;147;119;3.76
269058769682378;28-10-2025 18:58:58;PC;13.1;44.2;0.0;83.3;0.0;67.9;2.21;92;27;65;10.87
269058769682378;28-10-2025 18:59:01;PC;14.1;44.3;0.0;81.2;0.0;67.9;3.6;50;32;18;20.02
269058769682378;28-10-2025 18:59:04;PC;8.2;45.1;0.0;89.0;0.0;67.9;1.56;5;0;5;200.1
269058769682378;28-10-2025 18:59:08;PC;10.8;45.3;0.0;85.1;0.0;67.9;3.82;60;16;44;16.67
269058769682378;28-10-2025 18:59:11;PC;8.3;45.2;0.0;90.3;0.0;67.9;1.25;79;79;0;12.67
269058769682378;28-10-2025 18:59:14;PC;12.5;45.7;0.0;77.8;0.0;67.9;0.62;418;381;37;2.39
269058769682378;28-10-2025 18:59:17;PC;10.7;45.9;0.0;89.3;0.0;67.9;0.46;56;32;24;17.86
269058769682378;28-10-2025 18:59:20;PC;7.1;45.7;0.0;90.5;0.0;67.9;0.73;99;55;44;10.11
269058769682378;28-10-2025 18:59:24;PC;15.1;45.8;0.0;70.9;0.0;67.9;39.64;307;69;238;3.26
269058769682378;28-10-2025 18:59:27;PC;8.3;45.7;0.0;90.3;0.0;67.9;2.1;205;192;13;4.88
269058769682378;28-10-2025 18:59:30;PC;6.8;45.7;0.0;83.8;0.0;67.9;0.74;2243;2231;12;0.45
269058769682378;28-10-2025 18:59:33;PC;8.3;45.6;0.0;80.6;0.0;67.9;4.89;116;51;65;8.63
269058769682378;28-10-2025 18:59:36;PC;12.3;45.9;0.0;76.7;0.0;67.9;1.04;336;11;325;2.98
269058769682378;28-10-2025 18:59:40;PC;15.3;45.9;0.0;79.2;0.0;67.9;0.44;163;152;11;6.14
269058769682378;28-10-2025 18:59:43;PC;15.3;45.9;0.0;84.7;0.0;67.9;0.16;43;42;1;23.28
269058769682378;28-10-2025 18:59:46;PC;13.9;45.8;0.0;81.9;0.0;67.9;0.39;137;132;5;7.3
269058769682378;28-10-2025 18:59:49;PC;12.0;46.0;0.0;80.0;0.0;67.9;1.51;55;24;31;18.19
269058769682378;28-10-2025 18:59:52;PC;9.3;45.9;0.0;88.4;0.0;67.9;2.17;0;0;0;0.0
269058769682378;28-10-2025 18:59:55;PC;11.8;46.3;0.0;78.8;0.0;67.9;2.46;124;43;81;8.07
269058769682378;28-10-2025 18:59:58;PC;13.1;46.5;0.0;79.8;0.0;67.9;2.14;229;30;199;4.37
269058769682378;28-10-2025 19:00:03;PC;6.0;46.6;0.0;84.5;0.0;67.9;13.8;34;8;26;29.44
269058769682378;28-10-2025 19:00:06;PC;9.5;46.5;0.0;83.3;0.0;67.9;21.88;69;4;65;14.5
269058769682378;28-10-2025 19:00:09;PC;13.9;46.7;0.0;77.8;0.0;67.9;14.55;254;28;226;3.94
269058769682378;28-10-2025 19:00:13;PC;15.3;46.7;0.0;77.8;0.0;67.9;12.91;347;22;325;2.88
269058769682378;28-10-2025 19:00:16;PC;12.5;46.7;0.0;81.9;0.0;67.9;9.22;471;40;431;2.12
269058769682378;28-10-2025 19:00:19;PC;15.5;46.8;0.0;71.4;0.0;67.9;12.91;77;9;68;13.0
269058769682378;28-10-2025 19:00:25;PC;9.1;46.7;0.0;90.9;0.0;68.0;6.77;233;18;215;4.3
269058769682378;28-10-2025 19:00:28;PC;9.5;46.5;0.0;85.1;0.0;68.0;3.77;136;17;119;7.36
269058769682378;28-10-2025 19:00:31;PC;8.3;46.5;0.0;91.7;0.0;68.0;3.14;250;1;249;4.0
269058769682378;28-10-2025 19:00:34;PC;6.9;46.5;0.0;90.3;0.0;68.0;1.7;141;5;136;7.1
269058769682378;28-10-2025 19:00:37;PC;8.3;46.4;0.0;90.3;0.0;68.0;6.18;23;7;16;43.5
269058769682378;28-10-2025 19:00:40;PC;8.3;46.3;0.0;91.7;0.0;68.0;3.18;0;0;0;0.0
269058769682378;28-10-2025 19:00:43;PC;8.3;46.3;0.0;90.3;0.0;68.0;0.03;21;6;15;47.64
269058769682378;28-10-2025 19:00:47;PC;7.1;46.3;0.0;90.5;0.0;68.0;0.34;17;1;16;58.85
269058769682378;28-10-2025 19:00:50;PC;8.3;46.2;0.0;88.1;0.0;68.0;0.23;11;0;11;90.98
269058769682378;28-10-2025 19:00:53;PC;8.3;45.9;0.0;90.5;0.0;68.0;0.0;8;0;8;125.09
269058769682378;28-10-2025 19:00:56;PC;9.5;45.9;0.0;90.5;0.0;68.0;0.02;20;0;20;50.05
269058769682378;28-10-2025 19:00:59;PC;7.1;45.9;0.0;91.7;0.0;68.0;0.04;7;1;6;142.91
269058769682378;28-10-2025 19:01:02;PC;7.1;45.9;0.0;91.7;0.0;68.0;0.06;1;0;1;1000.45
269058769682378;28-10-2025 19:01:05;PC;10.6;45.9;0.0;84.7;0.0;68.0;0.75;9;0;9;111.15
269058769682378;28-10-2025 19:01:08;PC;8.3;45.9;0.0;89.3;0.0;68.0;0.18;5;0;5;200.08
269058769682378;28-10-2025 19:01:11;PC;8.3;45.9;0.0;91.7;0.0;68.0;0.12;0;0;0;0.0
269058769682378;28-10-2025 19:01:15;PC;6.9;45.8;0.0;88.9;0.0;68.0;0.05;7;0;7;142.98
269058769682378;28-10-2025 19:01:18;PC;8.3;45.9;0.0;90.3;0.0;68.0;0.03;26;2;24;38.5
269058769682378;28-10-2025 19:01:21;PC;9.5;45.8;0.0;84.5;0.0;68.0;0.02;6;0;6;166.74
269058769682378;28-10-2025 19:01:24;PC;9.4;45.8;0.0;65.9;0.0;68.0;0.11;0;0;0;0.0
269058769682378;28-10-2025 19:01:27;PC;8.3;45.8;0.0;91.7;0.0;68.0;0.9;4;1;3;250.27
269058769682378;28-10-2025 19:01:30;PC;8.3;45.9;0.0;76.2;0.0;68.0;3.39;214;68;146;4.68
269058769682378;28-10-2025 19:01:33;PC;8.3;46.3;0.0;91.7;0.0;68.0;0.79;26;1;25;38.48
269058769682378;28-10-2025 19:01:36;PC;12.3;46.1;0.0;83.6;0.0;68.0;0.0;34;0;34;29.42
269058769682378;28-10-2025 19:01:39;PC;6.9;45.8;0.0;93.1;0.0;68.0;0.29;38;0;38;26.33
269058769682378;28-10-2025 19:01:43;PC;9.7;45.1;0.0;76.4;0.0;68.0;3.73;70;6;64;14.3
269058769682378;28-10-2025 19:01:46;PC;7.1;45.0;0.0;91.7;0.0;68.0;7.7;6;0;6;166.82
269058769682378;28-10-2025 19:01:49;PC;10.7;45.0;0.0;81.0;0.0;68.0;0.0;4;0;4;250.14
269058769682378;28-10-2025 19:01:52;PC;9.6;44.9;0.0;76.7;0.0;68.0;0.0;0;0;0;0.0
269058769682378;28-10-2025 19:01:55;PC;6.9;44.8;0.0;88.9;0.0;68.0;0.08;5;0;5;200.11
269058769682378;28-10-2025 19:01:58;PC;8.3;44.9;0.0;90.3;0.0;68.0;1.31;1;0;1;1000.28
269058769682378;28-10-2025 19:02:01;PC;8.3;44.9;0.0;91.7;0.0;68.0;0.2;33;0;33;30.32
269058769682378;28-10-2025 19:02:04;PC;8.3;44.9;0.0;88.9;0.0;68.0;0.12;33;0;33;30.31
269058769682378;28-10-2025 19:02:07;PC;8.3;44.8;0.0;91.7;0.0;68.0;0.07;0;0;0;0.0
269058769682378;28-10-2025 19:02:11;PC;6.9;44.9;0.0;91.7;0.0;68.0;0.0;9;0;9;111.21
269058769682378;28-10-2025 19:02:14;PC;9.7;44.8;0.0;63.9;0.0;68.0;4.32;14;1;13;71.46
269058769682378;28-10-2025 19:02:17;PC;7.1;44.7;0.0;91.7;0.0;68.0;4.49;8;0;8;125.07
269058769682378;28-10-2025 19:02:20;PC;7.1;44.6;0.0;91.7;0.0;68.0;0.32;5;0;5;200.14
269058769682378;28-10-2025 19:02:23;PC;8.3;44.5;0.0;90.5;0.0;68.0;0.0;0;0;0;0.0
269058769682378;28-10-2025 19:02:26;PC;7.1;44.5;0.0;89.3;0.0;68.0;0.0;0;0;0;0.0
269058769682378;28-10-2025 19:02:29;PC;6.4;44.6;0.0;92.3;0.0;68.0;0.16;0;0;0;0.0
269058769682378;28-10-2025 19:02:32;PC;9.7;44.6;0.0;86.1;0.0;68.0;0.04;29;0;29;34.51
269058769682378;28-10-2025 19:02:35;PC;8.2;44.5;0.0;89.0;0.0;68.0;0.02;9;0;9;111.17
269058769682378;28-10-2025 19:02:39;PC;9.7;44.4;0.0;88.9;0.0;68.0;0.02;10;0;10;100.03
269058769682378;28-10-2025 19:02:42;PC;6.9;44.5;0.0;88.9;0.0;68.0;0.07;10;0;10;100.07
269058769682378;28-10-2025 19:02:45;PC;9.7;44.3;0.0;69.4;0.0;68.0;0.23;4;0;4;250.19
269058769682378;28-10-2025 19:02:48;PC;7.6;44.4;0.0;89.9;0.0;68.0;3.03;8;0;8;125.07
269058769682378;28-10-2025 19:02:51;PC;8.3;44.3;0.0;86.9;0.0;68.0;0.0;5;0;5;200.16
269058769682378;28-10-2025 19:02:54;PC;8.2;44.4;0.0;86.3;0.0;68.0;0.02;0;0;0;0.0
269058769682378;28-10-2025 19:02:57;PC;8.3;44.3;0.0;87.5;0.0;68.0;0.0;1;0;1;1000.24
269058769682378;28-10-2025 19:03:00;PC;8.3;44.3;0.0;90.3;0.0;68.0;0.0;5;0;5;200.18
269058769682378;28-10-2025 19:03:03;PC;5.6;44.2;0.0;91.7;0.0;68.0;0.17;8;0;8;125.06
269058769682378;28-10-2025 19:03:07;PC;8.3;44.2;0.0;81.0;0.0;68.0;0.05;13;0;13;76.97
269058769682378;28-10-2025 19:03:10;PC;8.3;44.3;0.0;78.6;0.0;68.0;0.03;3;0;3;333.43
269058769682378;28-10-2025 19:03:13;PC;8.3;44.2;0.0;90.3;0.0;68.0;0.07;10;0;10;100.09
